Josef Kricenský
Harry Beasley
Frantisek Sauer
Leon von Porkony
Charles Haskins
Ekkehard Kohlund
Jane Dryden
Robert Cunningham
Prince Friedrich of Hesse and by Rhine
Jack Hayes
Édouard Pinto
Maria Bystrzynska-Roslan
Conn Smythe
King Chulalongkorn
Jack Palmer
Johnny Torrio
Nina Rowland
Katia Mann
Marcel Janco
Jacques Schreurs
Harriet Notter
William J. Scanlan
Luise Westkirch
Jose Corazon de Jesus
Inez Millholland
Józef Kotarbinski
Ward Canaday
Victoria Monks
Luis Muñoz Marín
Maurice Spitalny
Gustaw Krynski
Paula Horváth
Frieda Fritz
Feliks Norski
Guido Deiro
Morris Gest
Adolf Müller Sr.
Otakar Storch-Marien
Vihtori Kosola
Otto Wille Kuusinen
Soma Guthi
Charles Ancliffe
Hector Monréal
Rose Lehman
Rene Fonck
George Dixon
Marie Vlaskin
Arthur Adams
Alec Kirkbride
Maidie Field
Ernie Dillon
Rich
Alfred Raymond Turner
Harry Langdon
Arthur Albertson
Sara Allgood
Ludwig Andersen
Joseph Anthony
Tsuru Aoki
Helen Aubrey
Claude Bailey
Perry Banks
Hjalmar Bendtsen
Rae Berger
Eugenie Bernay
Billy Bevan
Aage Bjørnbak
Louis Brody
Tyler Brooke
Simon Bucharoff
Napier Barry
Henry Caine
J. Will Callahan
Carsten Carlsen
André Carnège
Evelyn Carter Carrington
William E. Cassidy
Jan Ciecierski
Percy Clarbour
Edward Clisbee
Regina Cohee
Pierre Colombier
Cecil Copping
François de Curel
Eugène Dabit
Ben Danou
Dore Davidson
Gilbert Davis
Berns De Reaux
Harry De Vere
Hamilton Deane
George V. Denny Jr.
Ann Dere
Anton Gino Domenighini
Arthur Duarte
Bertil Duroj
Otto Elg-Lundberg
Emperor Franz Josef
Fred Essler
Chick Evans
Gerard Fairlie
Eugene Forde
Mabel Forrest
Karl Emil Franzos
Jules Furthman
Roy Galloway
Paolo Giacometti
Helen Gilliland
Jimmy Godden
Giovanni Grimaldi
Ester Göthson
Frona Hale
Emmerich Hanus
Carl Hauptmann
J.H. Hoffberg
Margaret Hoffman
John B. Hymer
Olaf Hytten
Laurence Irving
Ola Isene
H. Maurice Jacquet
Oskar Jelinek
Leon Jessel
Messmore Kendall
Hal C. Kern
Ante Kovacic
Wilhelm P. Krüger
Eduard Köck
Gyula Köváry
Barbara La Marr
Leland Lancaster
Leo Lance
Walter Lantz
Furry Lewis
Sheldon Lewis
Fran Lhotka
Richie Ling
J.P. Lockney
Oskar Luts
Henry MacRae
Walter Magnee
George F. Marion
Antony Mars
Mrs. Jacques Martin
Léontine Massart
Francis McDonald
Ashley C. McKinley
Cesare Meano
Frederic Melchior
Rodolfo Mele
Paul Menant
Carl Walther Meyer
Bliss Milford
Wilson Mizner
Nadyne Montgomery
Henry Morrell
Walter Morton
Bob Murphy
Dario Niccodemi
Marie Niedermann
Lev Nikulin
E.S. O'Reilly
Karl Gustav Ossiannilsson
Forbes Parkhill
Rastko Petrovic
António Pinheiro
Klavdiya Polovikova
Maurine Powers
Maurice Ransford
